sentence,sentence_image_path,letters_folder_path,font
MITCHELL IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_13.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_13,C:/Windows/Fonts/gisha.ttf
GARNAVILLO IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_14.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_14,C:/Windows/Fonts/gisha.ttf
IT IS USED IN ALL OF THE INDIANA JONES MOVIES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_15.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_15,C:/Windows/Fonts/mmrtext.ttf
POR QUO VU VENIS ADHIKE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_16.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_16,C:/Windows/Fonts/lvnmbd.ttf
MOST OF THESE WERE CAUSED BY HURRICANE MITCH.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_17.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_17,C:/Windows/Fonts/lucon.ttf
SARRASANI IS THE NAME OF A FAMOUS GERMAN CIRCUS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_18.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_18,C:/Windows/Fonts/seguihis.ttf
CARRABELLE IS A CITY OF FLORIDA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_19.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_19,C:/Windows/Fonts/segoeui.ttf
TAIN OUT OF.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_20.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_20,C:/Windows/Fonts/taile.ttf
THE TENOR CLEF IS ANOTHER C CLEF.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_21.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_21,C:/Windows/Fonts/segoeuiz.ttf
THINGS COMMONLY ADDED INCLUDE GARLIC CUMIN AND LEMON JUICE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_22.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_22,C:/Windows/Fonts/malgunsl.ttf
VERY BAD FLOODING WAS REPORTED IN HUATABAMPO.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_23.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_23,C:/Windows/Fonts/seguihis.ttf
THE CADILLAC ESCALADE IS A LARGE LUXURY SUV.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_24.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_24,C:/Windows/Fonts/consolai.ttf
THE NAME QAQORTOQ IS WESTERN GREENLANDIC AND IT MEANS WHITE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_25.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_25,C:/Windows/Fonts/lucon.ttf
MEGABATS EAT FRUIT NECTAR OR POLLEN.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_26.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_26,C:/Windows/Fonts/arial.ttf
THIS IS A LIST OF THE TALLEST BUILDINGS IN CHICAGO.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_27.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_27,C:/Windows/Fonts/gadugi.ttf
R PROST FORMERLY LIGIER.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_28.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_28,C:/Windows/Fonts/couri.ttf
RUTHVEN IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_29.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_29,C:/Windows/Fonts/ariali.ttf
HIS FIRST COLLECTION WILL YOU PLEASE BE QUIET PLEASE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_30.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_30,C:/Windows/Fonts/seguihis.ttf
COURTNEY THORNESMITH IS AN AMERICAN ACTRESS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_31.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_31,C:/Windows/Fonts/segoeuisl.ttf
USE NUMBERED PARAMETERS TO FIX IT.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_32.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_32,C:/Windows/Fonts/couri.ttf
THIS NOVEL WON FRANCE A PRIZE FROM THE FRENCH ACADEMY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_33.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_33,C:/Windows/Fonts/trebucit.ttf
CAJUPUT OIL CAN BE DISTILLED FROM ITS LEAVES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_34.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_34,C:/Windows/Fonts/trebucit.ttf
RICHLAWN IS A CITY OF KENTUCKY IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_35.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_35,C:/Windows/Fonts/malgunsl.ttf
EACH COUNTRY HAS ITS OWN PATENTS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_36.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_36,C:/Windows/Fonts/seguisb.ttf
VINALHAVEN IS A TOWN LOCATED IN KNOX COUNTY MAINE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_37.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_37,C:/Windows/Fonts/lvnmbd.ttf
HE ALSO OFTEN PERFORMED AT THE LEIPZIG GEWANDHAUS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_38.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_38,C:/Windows/Fonts/seguibl.ttf
BISHAN IS NEXT TO THE CENTRAL EXPRESSWAY LRB CTE RRB.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_39.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_39,C:/Windows/Fonts/seguibl.ttf
THE TOTAL WEIGHT OR TOTAL FAT CONTENT ARE NOT USED.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_40.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_40,C:/Windows/Fonts/malgun.ttf
HIS VERSES WERE TRANSLATED TO ENGLISH.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_41.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_41,C:/Windows/Fonts/palab.ttf
IT WAS PART OF MUZAFFARABAD DIVISION.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_42.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_42,C:/Windows/Fonts/taile.ttf
FOR NEWCOMERS USE A MINNOW.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_43.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_43,C:/Windows/Fonts/segoeuil.ttf
SEPANG INTERNATIONAL CIRCUIT ALSO FEATURES KART RACING AND MOTOCROSS FACILITIES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_44.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_44,C:/Windows/Fonts/malgun.ttf
IT IS CURRENTLY THE ONLY IB WORLD SCHOOL IN TUNISIA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_45.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_45,C:/Windows/Fonts/seguisb.ttf
HOWEVER FEW OF ITS BUILDINGS REMAIN.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_46.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_46,C:/Windows/Fonts/seguihis.ttf
RODNEY IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_47.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_47,C:/Windows/Fonts/gisha.ttf
AROUND FLORINA THERE ARE MANY FORESTS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_48.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_48,C:/Windows/Fonts/seguibl.ttf
KIVALINA IS A CITY IN ALASKA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_49.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_49,C:/Windows/Fonts/segoeuil.ttf
THE DFSG IS PART OF THE DEBIAN SOCIAL CONTRACT.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_50.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_50,C:/Windows/Fonts/consola.ttf
CHOLESTEROL IS FOUND ESPECIALLY IN ANIMAL FATS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_51.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_51,C:/Windows/Fonts/couri.ttf
ALL TRAFFIC ON THE NETWORK PASSES THROUGH THE CENTRAL HUB.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_52.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_52,C:/Windows/Fonts/consola.ttf
THE FREUD MUSEUM IS A MUSEUM IN LONDON.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_53.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_53,C:/Windows/Fonts/segoeui.ttf
IT DISSOLVES IN CONCENTRATED HYDROCHLORIC ACID.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_54.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_54,C:/Windows/Fonts/taile.ttf
SOME CRITICS ASSERTED THAT THE AWARD AFFIRMS NEOLIBERALISM.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_55.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_55,C:/Windows/Fonts/segoeuil.ttf
THEY CURRENTLY PLAY IN THE SCOTTISH FIRST DIVISION.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_56.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_56,C:/Windows/Fonts/arial.ttf
CUTTING TOOLS ARE TOOLS DESIGNED TO CUT MATERIALS OR OBJECTS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_57.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_57,C:/Windows/Fonts/gisha.ttf
THEY DID NOT HAVE ANY CHILDREN.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_58.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_58,C:/Windows/Fonts/ntailu.ttf
KITSUNE RCB RCB LRB IS THE JAPANESE WORD FOR FOX.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_59.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_59,C:/Windows/Fonts/seguisym.ttf
COUNTRYSIDE IS A CITY OF ILLINOIS IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_60.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_60,C:/Windows/Fonts/consolaz.ttf
IT IS FOUND ONLY IN COLOMBIA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_61.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_61,C:/Windows/Fonts/lucon.ttf
HE DOES NT JUST LIE DOWN AND TAKE ABUSE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_62.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_62,C:/Windows/Fonts/consolai.ttf
AVA IS A CITY OF ILLINOIS IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_63.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_63,C:/Windows/Fonts/couri.ttf
MACKVILLE IS A CITY OF KENTUCKY IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_64.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_64,C:/Windows/Fonts/segoeuil.ttf
IT WAS CREATED IN BOVEY MINNESOTA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_65.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_65,C:/Windows/Fonts/seguihis.ttf
ALBANY IS LARGELY A FARMING AND MANUFACTURING BASED CITY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_66.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_66,C:/Windows/Fonts/mmrtext.ttf
NORTH KOREA CONTENDS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_67.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_67,C:/Windows/Fonts/mmrtext.ttf
POVERTY IN PAKISTAN IS A GROWING CONCERN.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_68.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_68,C:/Windows/Fonts/ntailu.ttf
THERE HE BECAME CHAIRMAN OF THE COMMITTEE ON INVALID PENSIONS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_69.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_69,C:/Windows/Fonts/mmrtext.ttf
PUNTLAND IS A PROVINCE OF SOMALIA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_70.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_70,C:/Windows/Fonts/palab.ttf
THE PLAYER CAN AVOID CAPTURING THE PIECE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_71.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_71,C:/Windows/Fonts/phagspa.ttf
STANDS FOR IG NDERLINED.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_72.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_72,C:/Windows/Fonts/ebrima.ttf
IT DEFAULTS TO THE TAG GENERATED EG BY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_73.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_73,C:/Windows/Fonts/verdanaz.ttf
IN THE MORNING HERCULES IOLE AND NESSUS LEAVE FOR GRYPHON.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_74.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_74,C:/Windows/Fonts/segoeui.ttf
HER NAME IS HELENE LENI KLUM.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_75.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_75,C:/Windows/Fonts/gisha.ttf
GRATZ IS A CITY OF KENTUCKY IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_76.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_76,C:/Windows/Fonts/gisha.ttf
DAVAO CITY IS THE FORMER LARGEST CITY OF THE PHILIPPINES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_77.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_77,C:/Windows/Fonts/seguisym.ttf
SENNA WAS AHEAD OF PROST BERGER MANSELL PATRESE AND ALESI.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_78.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_78,C:/Windows/Fonts/segoeuiz.ttf
PROPELLER AIRLINERS OCCASIONALLY HAVE FIRST CLASS IN THE REAR.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_79.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_79,C:/Windows/Fonts/taile.ttf
X BYTE ORDER MARK.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_80.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_80,C:/Windows/Fonts/consolab.ttf
SOMERSET IS A COUNTY IN SOUTH WEST ENGLAND.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_81.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_81,C:/Windows/Fonts/lvnmbd.ttf
WOODEN CEILINGS WERE USUALLY BRIGHTLY COLORED.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_82.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_82,C:/Windows/Fonts/segoeuiz.ttf
THIS CATEGORY CONTAINS BACKLOGS WHICH NEED TO BE DEALT WITH.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_83.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_83,C:/Windows/Fonts/consolai.ttf
SERIAL NUMBERS CAN BE VERY USEFUL FOR QUALITY CONTROL.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_84.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_84,C:/Windows/Fonts/arial.ttf
BEDFORD IS A TOWN IN MIDDLESEX COUNTY MASSACHUSETTS UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_85.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_85,C:/Windows/Fonts/trebucit.ttf
WEST MACEDONIA IS ONE OF THE THIRTEEN PERIPHERIES OF GREECE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_86.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_86,C:/Windows/Fonts/consolai.ttf
MUCH IS NOW KNOWN ABOUT THE ORIGIN OF BIRDS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_87.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_87,C:/Windows/Fonts/consola.ttf
THE CHURCH IS CURRENTLY HEADED BY MAR DINKHA IV.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_88.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_88,C:/Windows/Fonts/ebrima.ttf
THE CONSTRUCTORS WORLD CHAMPIONSHIP DID NOT EXIST BEFORE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_89.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_89,C:/Windows/Fonts/verdanab.ttf
RUNNING MADLY RIOTOUS THROUGH CORNICE ARCHWAY AND FACADE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_90.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_90,C:/Windows/Fonts/ahronbd.ttf
THE NORNS DISAPPEAR INTO THE EARTH.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_91.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_91,C:/Windows/Fonts/consolab.ttf
BETHANY IS A CITY OF OKLAHOMA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_92.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_92,C:/Windows/Fonts/seguiemj.ttf
QI WAS A PHYSICAL EDUCATION MAJOR GRADUATE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_93.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_93,C:/Windows/Fonts/mmrtext.ttf
TOHRU COMES TO LIVE WITH THE MYSTERIOUS SOHMA FAMILY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_94.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_94,C:/Windows/Fonts/segoeuil.ttf
THE SYDNEY AQUARIUM IS AN AQUARIUM IN DARLING HARBOUR SYDNEY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_95.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_95,C:/Windows/Fonts/taile.ttf
THE PROBLEM CAN ALSO BE APPROACHED IN A DISTRIBUTED MANNER.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_96.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_96,C:/Windows/Fonts/consola.ttf
HE WAS CLOSE PERSONAL FRIENDS WITH MANY INFLUENTIAL FOREIGNERS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_97.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_97,C:/Windows/Fonts/consolab.ttf
ALSO IT FALLS UNDER THE INTERNATIONAL AIR ROUTE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_98.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_98,C:/Windows/Fonts/lvnmbd.ttf
SARAYU RIVER IS MENTIONED IN RAMAYANA.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_99.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_99,C:/Windows/Fonts/seguiemj.ttf
MANY PLANTS ALSO REPRODUCE ASEXUALLY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_100.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_100,C:/Windows/Fonts/consolai.ttf
SULLIVAN BEGAN TAKING GUITAR LESSONS AT AGE THREE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_101.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_101,C:/Windows/Fonts/l_10646.ttf
SEROTONIN IS ALSO FOUND IN FUNGI AND PLANTS.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_102.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_102,C:/Windows/Fonts/segoeuiz.ttf
HILLS IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_103.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_103,C:/Windows/Fonts/consolaz.ttf
SOLDIER IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_104.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_104,C:/Windows/Fonts/consolai.ttf
A NEW ZEALAND RED CROSS TEAM WAS ALSO DISPATCHED.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_105.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_105,C:/Windows/Fonts/verdanaz.ttf
DICKENS IS A CITY OF IOWA IN THE UNITED STATES.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_106.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_106,C:/Windows/Fonts/ntailu.ttf
GENTILINO IS A VILLAGE IN THE CANTON OF TICINO SWITZERLAND.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_107.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_107,C:/Windows/Fonts/mmrtext.ttf
NONUMTOC TOC UL UL.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_108.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_108,C:/Windows/Fonts/trebucit.ttf
IN HONG KONG THE TERM BUREAU IS USED.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_109.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_109,C:/Windows/Fonts/gisha.ttf
VS RAW IN JAPAN.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_110.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_110,C:/Windows/Fonts/palab.ttf
LITTLE OF HIS LIFE AND WORK IS KNOWN TODAY.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_111.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_111,C:/Windows/Fonts/seguibl.ttf
TURQUOISE IS THE COLOR OF THE GEM TURQUOISE.,Stage_1_Segmentation_Module/data/senteces_data/sentences_images//sentence_112.png,Stage_1_Segmentation_Module/data/senteces_data/letters_images/sentence_112,C:/Windows/Fonts/arial.ttf
